Date,Open,High,Low,Close,Adj Close,Volume
2/5/02,1844.619995,1867.939941,1828.670044,1838.52002,1838.52002,2106870000
2/6/02,1853.130005,1853.130005,1805.01001,1812.709961,1812.709961,2105480000
2/7/02,1809.430054,1824.069946,1781.72998,1782.109985,1782.109985,1998300000
2/8/02,1794.050049,1818.880005,1772.150024,1818.880005,1818.880005,1794710000
2/11/02,1816.939941,1846.930054,1815.380005,1846.660034,1846.660034,1564830000
2/12/02,1829.530029,1852.219971,1817.130005,1834.209961,1834.209961,1621680000
2/13/02,1844.790039,1862.420044,1844.119995,1859.160034,1859.160034,1600740000
2/14/02,1863.469971,1877.73999,1840.780029,1843.369995,1843.369995,1679410000
2/15/02,1844.890015,1847.069946,1801.670044,1805.199951,1805.199951,1624720000
2/19/02,1790.939941,1791.01001,1745.050049,1750.609985,1750.609985,1749170000
2/20/02,1762.430054,1777.180054,1729.199951,1775.569946,1775.569946,1918210000
2/21/02,1763.819946,1769.369995,1716.23999,1716.23999,1716.23999,1833750000
2/22/02,1718.699951,1736.47998,1696.550049,1724.540039,1724.540039,1839340000
2/25/02,1731.430054,1776.609985,1730.910034,1769.880005,1769.880005,1666850000
2/26/02,1777.540039,1788.75,1750.359985,1766.859985,1766.859985,1670530000
2/27/02,1783.290039,1793.72998,1741.47998,1751.880005,1751.880005,1823440000
2/28/02,1759.329956,1773.199951,1728.650024,1731.48999,1731.48999,1935630000
3/1/02,1745.48999,1802.890015,1742.079956,1802.73999,1802.73999,1902520000
3/4/02,1799.680054,1859.719971,1789.719971,1859.319946,1859.319946,2297630000
3/5/02,1854.709961,1886.150024,1849.75,1866.290039,1866.290039,2074650000
3/6/02,1859.280029,1891.829956,1841.310059,1890.400024,1890.400024,1907080000
3/7/02,1903.23999,1910.699951,1865.060059,1881.630005,1881.630005,1898190000
3/8/02,1908.089966,1935.089966,1908.089966,1929.670044,1929.670044,2059420000
3/11/02,1919.72998,1946.22998,1905.930054,1929.48999,1929.48999,1763950000
3/12/02,1888.680054,1899.01001,1879.420044,1897.119995,1897.119995,1750150000
3/13/02,1879.969971,1886.27002,1858.449951,1862.030029,1862.030029,1664240000
3/14/02,1863.099976,1873.01001,1851.380005,1854.140015,1854.140015,1492130000
3/15/02,1854.339966,1871.390015,1845.930054,1868.300049,1868.300049,1698800000
3/18/02,1882.72998,1893.26001,1861.109985,1877.060059,1877.060059,1547190000
3/19/02,1881.130005,1891.51001,1873.170044,1880.869995,1880.869995,1521620000
